Movie Title,Movie Year,Movie Duration,Movie Genres,Movie Rating,Our Rating,Movie Description,Movie Stars,Movie Votes,Movie Image,Movie Video
The White Lotus,2021,60 min,"Comedy, Drama",7.6,7/10,"Set in a tropical resort, it follows the exploits of various guests and employees over the span of a week.","Jennifer Coolidge, Eleonora Romandini, Federico Ferrante, Murray Bartlett","75,393",https://m.media-amazon.com/images/M/MV5BYjdjNzBmYjEtM2Y5My00YjI0LWJjY2YtOGQ4MjNkNmE2MDVjXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_QL75_UX190_CR0,https://imdb-video.media-imdb.com/vi3618555161/1434659529640-260ouz-1666913258921.mp4?Expires=1668185564&Signature=Ksn7pWmDKtB5VWT380pmm0ydCrPiLpoyowxXsOFozZzoXwETa-guEETToXRvraSrcR-7W6Udr~emoPDLZXDTstYUvDQyA76uQL7GybyWjUO8R-H~GahJ5u0kTUMXdVxovkWSX1kwDHr398fSSr~PaBvSo-uyb-25v6Bhj9oe8POVOzFdqM6DvIPe2M6jloTyJ8N2oxXw8Iynz0zFJy9WHmBQQlayAn37N7tmwtY2iupUBjvUssmSGhqBtO2L2HNMPyH-MWSmpeExmJcdjR58ElevJZq3QAZORIh-EnbJfU6CxtEWpG-ukv69saXrVL9lSWMgz3kHI4Tl2Q8lqDJPZA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Weird: The Al Yankovic Story,2022,108 min,"Biography, Comedy, Music",7.2,6/10,"Explores every facet of Yankovic's life, from his meteoric rise to fame with early hits like 'Eat It' and 'Like a Surgeon' to his torrid celebrity love affairs and famously depraved lifestyle.","Diedrich Bader, Daniel Radcliffe, Lin-Manuel Miranda, Richard Aaron Anderson","9,692",https://m.media-amazon.com/images/M/MV5BOWRiNmI1OTItYjc0Zi00YTYwLWI4OTEtMmE0YTNlODJkOTQwXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX190_CR0,https://imdb-video.media-imdb.com/vi1080541721/1434659529640-260ouz-1661782424374.mp4?Expires=1668185007&Signature=ToJobeAflYdq0pEpg5zvxqKGLdj3-GknP5g-em2qNjychG8FNRSHXFHqY-bCLQB8jGPuqwhwax3JhUaBNFD2LlHodX9ncUgE6bFrt-t0OEQNCPnTCkkPA~UOYUvqfgU-yY5OOUJZRqBeCzK4FxULr-c3DlSEAQk0O7VUkR8R2896zYcizr3fgFRuNsibfEvX8MAtjrAmffExVkgYjZnO289Psb5erDnS3b3VS0m0188fWNAB~OW4AnMgEni8~o81EEwHSGGqy-hidk7qcUHPR-TanSk9Amrkyjhtt1fTkm1FbGZqYK6-kqRsxnPWYuutlG9193upCBbvfWmZlnFxkA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
The School for Good and Evil,2022,147 min,"Action, Comedy, Drama",5.8,6/10,Best friends Sophie and Agatha find themselves on opposing sides of an epic battle when they're swept away into an enchanted school where aspiring heroes and villains are trained to protect the balance between Good and Evil.,"Kit Young, Sophia Anne Caruso, Cate Blanchett, Liam Woon","19,773",https://m.media-amazon.com/images/M/MV5BNzM1ODI4Y2UtMGYxMS00OTUxLWE4NzItNjgxMTM2NzRjZThkXkEyXkFqcGdeQXVyMTA1OTcyNDQ4._V1_QL75_UX190_CR0,https://imdb-video.media-imdb.com/vi851035417/1434659529640-260ouz-1665583573008.mp4?Expires=1668185571&Signature=SVJHaQpd5iQ5GjypnlxbNSGeZUDfwsgm5u9jDnYzrr31OpkR3CHLtS4LMlZmlnnZR~x~1NvFGsOh44mTTvDrWMa1CuWDuKAHapqhuqGW1T-bJiUkYq0kndxOYrK16~n2LyON3SQDCN5ex9w0xEBaD2jvjuna737aUjUsFju4U-DXlUJK-CS04OCuH4DlBg0lpvMxj~vJ2bxCVF0OVMZROEizsiOuk--hvJyvArODJcgC6CF~TEL-U8TLgtBdFnMwU0UrCU526FYkzCan3ELzj2kYVgoTACKlKodpIxIkX9Jm2FgMjbAr~0-bx3lgG4u1q-weJzjZiczST73UP9HLLg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
See How They Run,2022,98 min,"Comedy, Mystery",6.6,NA,"In the West End of 1950s London, plans for a movie version of a smash-hit play come to an abrupt halt after a pivotal member of the crew is murdered.","Kieran Hodgson, Pearl Chanda, Gregory Cox, Harris Dickinson","20,987",https://m.media-amazon.com/images/M/MV5BNzU5OTNmZDYtZjA4OC00YmQyLTk4ZjctMzVlZTYyYTE3ODUwXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_QL75_UX190_CR0,https://imdb-video.media-imdb.com/vi4073308697/1434659529640-260ouz-1656513904830.mp4?Expires=1668185574&Signature=dzFS5yvq~tB-sVqdg22mH6txgmkAOvqnsSOiiStXVwNciWVxvXX3eaZHOwawQovpCXypcpXSZNIO9zx3UCLEQP7nthWx8xhU6c-4~3hHlTpLkXgYf9zmMyztqIezYkzpMB3YaCClzLDfbq1ycGYPe8nl6m1j0INzRa6zyYUJkFtORjeMPYSKhwsXOvcTk4qQh0wdzhV8YXgmM59~ajXROO1CPw1TKNI8dZ0UZaomryiPG6wvSbaIXiApdN7GPbrF5KzrvNrYgxJWw4lPSU7ToYAkzcAFH1J3fCZIskIBqJkmbAl35Ihhw2cQ1vkrFVXEyfpksiJxpuFEI5uG-A0hhw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Hocus Pocus,1993,96 min,"Comedy, Family, Fantasy",6.9,NA,"A teenage boy named Max and his little sister move to Salem, where he struggles to fit in before awakening a trio of diabolical witches that were executed in the 17th century.","Bette Midler, Sarah Jessica Parker, Kathy Najimy, Omri Katz","142,209",https://m.media-amazon.com/images/M/MV5BNWM3NmRhMGMtOGE4ZC00MDk0LWI1NjMtMjVlNTEwOTcwZTc0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,https://imdb-video.media-imdb.com/vi1763031833/1434659607842-pgv4ql-1564061263381.mp4?Expires=1668185577&Signature=RpBH-Lqy8Z40lY5IXoCKPNB1usPFIi77ouPPbcjkaXlnC29cyhUnD~3RvmsL9JP0zQe7rP98hJjKrvUY8Z207YSs1wDuoj426A4~SQZe8pWwcCx--3Qv4mGMF14nYy0tTkqdm532wUg5GFaGaroqb21NO2wEfTHrnKSVCnzNsI7vUovsodsF0qp6WUZmbCt0MOp8EzCfhG9e-4afDp1x68JD-o0uEJvNJaKvBwv2m4UdDiT7z4mLVEchwdGsZSJiKL~u30YB2Vp~HRQGYQI2hldmAjuBEtsqL8RHHHuS~65cRKn6LMScWSco1VRgpG~UTitcBbdd7~P6BXKURzmqmg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
A Christmas Story Christmas,2022,NA,"Comedy, Family",NA,NA,"Follows the now-adult Ralphie as he returns to the house on Cleveland Street to give his kids a magical Christmas like the one he had as a child, reconnecting with childhood friends, and reconciling the passing of his Old Man.","Peter Billingsley, Zack Ward, Erinn Hayes, Julie Hagerty",NA,https://m.media-amazon.com/images/M/MV5BMjliZjM5MWMtMzcyYi00Y2ZiLTliOGMtNGNjMjE1YWIwZTkyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,https://imdb-video.media-imdb.com/vi2392048921/1434659529640-260ouz-1667320531199.mp4?Expires=1668185580&Signature=OYoR~0oXjbUPSMunOviEsciqw78l3zPFar41XpYTH48XVlSYzeQRahEe0r9pRSnwIxd~J6psxE336Crwnvcadyvt2Eg3XsntW1so4lqkBh74EAJHXv5iAevPee7chxB3MPIMggatnni81PVyra3w6z6iA07NeW7jCZ~IOxxWGxLUnALnZ1xHrnZzVfemPxW8OiSZWfuRw9gFOgV6r7BBRP51EDFTuVjgMvsh10WkGkS3W5SBcG-wmR8xEdWznQai5dq6iyRhpT8PvJ5yZwNPH96qPMY9nUA51oJu3mvnZCztQs6ICnM2n5sXIJqdqi8piN8FtSdfj8U33XLm0QYAdQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
The Banshees of Inisherin,2022,114 min,"Comedy, Drama",8.2,NA,"Two lifelong friends find themselves at an impasse when one abruptly ends their relationship, with alarming consequences for both of them.","Colin Farrell, Brendan Gleeson, Kerry Condon, Barry Keoghan","10,347",https://m.media-amazon.com/images/M/MV5BM2NlZDI0ZDktNTg5OS00ZjQ1LWI4MDEtN2I0MDE5NWRiNzA4XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_QL75_UX190_CR0,https://imdb-video.media-imdb.com/vi1001440537/1434659529640-260ouz-1664911524876.mp4?Expires=1668185584&Signature=jjmMH8mkyqk27mcJ8PZCF03x~CtbJn8UB0tTYNQ8ID6sHA-uxbAqxBsPkAYLXZtupsuP5cmAnzRkDEhhfpLgJh3GBY5SiFXnfqhdzgtnRDR9y7P4DPHilV-FHDyBcR~708ZEbEWrVRzD9KHUs7OlXODFbxrnj83i4TVpH1JavtkMWwwf4MLHE8SbcYzo9erG8SMMvJ5lh6i2Lyosy55jaB4oM4qGgKuoARmSC1BP~aDn6V0RlYvYrnQkmaMJJnph8QHw0hGjvppPnMWeAf7IWD7pv0bbLpDke6MEniRm1zM6uiRuPhAED6XMeDjX0SbK~047QLWozFZ7~vEjXLhIOA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Bullet Train,2022,127 min,"Action, Comedy, Thriller",7.3,NA,Five assassins aboard a swiftly-moving bullet train find out that their missions have something in common.,"Brad Pitt, Joey King, Aaron Taylor-Johnson, Brian Tyree Henry","169,210",https://m.media-amazon.com/images/M/MV5BMDU2ZmM2OTYtNzIxYy00NjM5LTliNGQtN2JmOWQzYTBmZWUzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,https://imdb-video.media-imdb.com/vi1743438361/1434659529640-260ouz-1654615953314.mp4?Expires=1668185587&Signature=I7~Sl4t84-KBzo2YbFQG0p2mP-0N7RmAnNDttA5DlwM9j6~yGploBtEKFHMG1nXlDEey8hF4vF6Ik8BBaBSw9HPbFQlQfkmbQAaVJ6pmPyzM~EkmNb2CSCIzbiXZImz1VNSIAwzzQXP69c0x1jhGrank1r0RUXH-UjWMg58G~MtLCc6fAqc~6ykryOQXU6A7xWmnHS2nJGVtkfVrCz7XQaVpt7QtrfFbsUZr90KtxDuovryt1C2yUSC2aUKuv9jbXo4Goi10bfUZc1w0zBcn2KGEnar2qk1AMPQUwHsgs5ehPreHITJwWfTC3tdanXyTd55-UT0kD5eH7MR1ju2rwg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
Hocus Pocus 2,2022,103 min,"Comedy, Family, Fantasy",6.0,NA,Two young women accidentally bring back the Sanderson Sisters to modern day Salem and must figure out how to stop the child-hungry witches from wreaking havoc on the world.,"Bette Midler, Sarah Jessica Parker, Kathy Najimy, Whitney Peak","41,235",https://m.media-amazon.com/images/M/MV5BODcxYzI1MTktZWYzNC00MGZlLWI3ZjYtNzhmM2IyOTlkNjYyXkEyXkFqcGdeQXVyMTA1OTcyNDQ4._V1_QL75_UX190_CR0,https://imdb-video.media-imdb.com/vi2487796249/1434659529640-260ouz-1664308373387.mp4?Expires=1668185591&Signature=Clb5q77AJSD54fs4MvoFvCJ21XWGTjA9eOMOutd1yk8qcfz8ejSdOEckmae5A8EnVqabU0jPnnt6dwoAX2H3TTVXaYgO7SyjgpH-D2326-4XaVkIofbviKJSiCkNzAoczjlxn9YfwQqN7pHAATrQqF0GoIs5UiM~TLNqaBXMo5yJO2X8dIk86gooMfDBhYfaORMVJXfk39nB2qJN3XGwttuKrpkBy-QDYnKfc5x01wLcpmLCUgMxHjqgOouyr5kGNGkXpPZwCwuTkiuHVXpPkc8f9yn8YTzp4xilbpMfKGL2-JuaqA2pamUTYQiZz1ZgPAxWqjNXXv4RKkkZgwCJjw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
The Santa Clauses,2022,NA,"Comedy, Drama, Family",NA,NA,"Scott Calvin is about to turn 65 and, realizing he can't be Santa forever, sets out to find a suitable replacement Santa while preparing his family for a new adventure in life south of the pole.","Tim Allen, Ashlan Rowan, Rupali Redd, Elizabeth Mitchell",NA,https://m.media-amazon.com/images/M/MV5BOGM1YWM1NTUtYzdmYi00NjY2LWI2MGUtNmUzZGNkMDY0Mzk2XkEyXkFqcGdeQXVyMDk4OTMzOA@@._V1_QL75_UY281_CR18,https://imdb-video.media-imdb.com/vi2781528857/1434659529640-260ouz-1639681559136.mp4?Expires=1668185595&Signature=Q4HixuhXEHPOBwloY49fAQJ0H4y-ExEN0l5cslZjlKasYAjbKahdp-Ix7VS4VGeRZXuA1id1ivbnoJiMPlktvI~dxQgvPwq50x07ICBD42EQawvMLAmW1IhSG4Nqx60Y0FpdowVNUTcobJWGyzU9-WZgLHPqToluBvdUEKrhVnB6NR5MlFsuGK7CmRZcWTQmcq9JoUQsmrT7UitUvP6YdQJ7jq1saOllKoYP8zOEaugvnO74epanY6tgoHhnM6gefXmelXSlKGRCzLFPu9oYJ7YDsLtbYdIY6VZVlLmkYo~3d1s7biT27ensLHC8xzcSjfjcjuIKDpAZQ1353g4-JA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA
